u:1
0
-8.5105E-07
-1.7021E-06
-2.5531E-06
-3.4042E-06
-4.2552E-06
-5.1063E-06
-5.9573E-06
-6.8084E-06
-7.6594E-06
-8.5105E-06
-9.3615E-06
-0.000010213
-0.000011064
-0.000011915
-0.000012766
-0.000013617
-0.000014468
-0.000015319
-0.00001617
-0.000017021
-0.000017872
-0.000018724
-0.000019577
-0.000020427
-0.000021272
-0.000022111
-0.00002295
-0.000023788
-0.000024606
-0.000025346
-0.000025938
-0.000026359
-0.000026683
-0.000027051
-0.000027568
-0.000028242
-0.000029036
-0.000029949
-0.000031044
-0.000032369
-0.000033883
-0.000035508
-0.000037247
-0.000039194
-0.00004136
-0.000043586
-0.000045707
-0.000047749
-0.000049897
-0.000052243
-0.00005464
-0.000056875
-0.000058946
-0.000061009
-0.000063116
-0.0000652
-0.000067209
-0.000069142
-0.000071068
-0.000073091
-0.000075153
-0.000077091
-0.000078927
-0.000080809
-0.000082703
-0.000084509
-0.000086253
-0.000087963
-0.000089608
-0.0000912
-0.000092774
-0.000094349
-0.000095914
-0.000097418
-0.000098868
-0.00010035
-0.00010185
-0.00010327
-0.00010462
-0.00010593
-0.00010723
-0.00010851
-0.00010977
-0.00011095
-0.00011211
-0.00011331
-0.00011448
-0.0001156
-0.00011671
-0.00011779
-0.00011878
-0.00011979
-0.00012084
-0.00012184
-0.00012278
-0.00012371
-0.0001246
-0.00012543
-0.00012618
-0.00012687
-0.00012756
-0.00012824
-0.00012889
-0.00012947
-0.00012998
-0.0001305
-0.0001311
-0.00013182
-0.00013264
-0.00013355
-0.00013453
-0.00013559
-0.00013675
-0.00013793
-0.00013911
-0.00014027
-0.00014131
-0.00014207
-0.00014248
-0.00014264
-0.00014268
-0.00014273
-0.00014282
-0.00014288
-0.00014282
-0.00014256
-0.0001421
-0.0001415
-0.00014087
-0.00014025
-0.00013962
-0.00013894
-0.00013825
-0.0001376
-0.00013705
-0.00013658
-0.00013612
-0.00013563
-0.00013514
-0.00013466
-0.00013415
-0.00013357
-0.00013297
-0.00013245
-0.00013212
-0.00013193
-0.00013175
-0.00013154
-0.00013141
-0.00013142
-0.00013151
-0.00013159
-0.00013158
-0.00013153
-0.00013152
-0.00013159
-0.00013171
-0.00013188
-0.00013214
-0.00013251
-0.00013288
-0.00013322
-0.00013356
-0.00013387
-0.00013418
-0.00013453
-0.00013494
-0.00013537
-0.00013582
-0.00013628
-0.00013669
